_Arg/CPU-0/(no input)->(string 1x1)	[259, 100, -1]
Const/GPU-0/(no input)->(1x7x128x192)	[249, 100, -1]
Identity/GPU-0/(1x147x147x32)->(1x147x147x32)	[244, 100, -1]
Identity/GPU-0/(1x17x17x768)->(1x17x17x768)	[225, 100, -1]
Const/GPU-0/(no input)->(1x1x64x80)	[222, 100, -1]
Reshape/GPU-0/(1x1x1x2048)(int32 2x1)->(1x2048)	[219, 100, -1]
Const/GPU-0/(no input)->(3x3x3x32)	[215, 100, -1]
Const/GPU-0/(no input)->(3x3x32x64)	[214, 100, -1]
Identity/GPU-0/(1x17x17x96)->(1x17x17x96)	[210, 100, -1]
BiasAdd/GPU-0/(1x1008)(1008x1)->(1x1008)	[204, 100, 1008]
Identity/GPU-0/(1x8x8x2048)->(1x8x8x2048)	[202, 100, -1]
Relu/GPU-0/(1x17x17x96)->(1x17x17x96)	[197, 100, -1]
Const/GPU-0/(no input)->(1x1x1280x384)	[192, 100, -1]
Const/GPU-0/(no input)->(1x1x192x48)	[191, 100, -1]
Identity/GPU-0/(1x35x35x288)->(1x35x35x288)	[190, 100, -1]
Cast/GPU-0/(uint8 100x100x3)->(100x100x3)	[190, 100, -1]
Const/GPU-0/(no input)->(int32 2x1)	[189, 200, -1]
Const/GPU-0/(no input)->(7x1x128x192)	[187, 100, -1]
Const/GPU-0/(no input)->(1x1x2048x448)	[182, 100, -1]
Const/GPU-0/(no input)->(1x1x2048x384)	[181, 100, -1]
Const/GPU-0/(no input)->(1x1x288x48)	[178, 100, -1]
Const/GPU-0/(no input)->(3x3x32x32)	[177, 100, -1]
Const/GPU-0/(no input)->(1x1x1280x320)	[176, 100, -1]
Identity/GPU-0/(1x17x17x384)->(1x17x17x384)	[175, 100, -1]
Const/GPU-0/(no input)->(3x3x80x192)	[173, 100, -1]
Const/GPU-0/(no input)->(1x1x1280x448)	[170, 100, -1]
Const/GPU-0/(no input)->(3x3x192x320)	[167, 100, -1]
Const/GPU-0/(no input)->(1x1x192x32)	[165, 100, -1]
Const/GPU-0/(no input)->(int32 1x1)	[164, 200, -1]
Const/GPU-0/(no input)->(3x3x192x192)	[162, 100, -1]
Const/GPU-0/(no input)->(1x1x2048x192)	[154, 100, -1]
Const/GPU-0/(no input)->(1x1x256x48)	[148, 100, -1]
Const/GPU-0/(no input)->(1008x1)	[143, 100, -1]
Const/GPU-0/(no input)->(1x1x1280x192)	[140, 100, -1]
Const/GPU-0/(no input)->(1x1x2048x320)	[135, 100, -1]
_Retval/CPU-0/(1x1008)->(no output info)	[135, 100, -1]
Const/GPU-0/(no input)->(2048x1008)	[132, 100, -1]
NoOp/CPU-0/(no input)->(no output info)	[130, 100, -1]
Const/GPU-0/(no input)->(3x3x288x384)	[128, 100, -1]
MEMCPYDtoH/GPU-0/(Transfer)->(4032 bytes)	[100, 100, -1]
