gradients/AddN_25@GPU-0@(1x1x1024x256)(1x1x1024x256)->(1x1x1024x256)	gradients/AddN_25	AddN	GPU-0	0	20	20	(1x1x1024x256)(1x1x1024x256)->(1x1x1024x256)	1	1	0
Momentum/update_resnet_model/conv2d_51/kernel/ApplyMomentum@GPU-0@(3x3x512x512)(3x3x512x512)(1x1)(int32 1x1 slot 1 slot )(3x3x512x512)(1x1)->(3x3x512x512)	Momentum/update_resnet_model/conv2d_51/kernel/ApplyMomentum	ApplyMomentum	GPU-0	0	362	362	(3x3x512x512)(3x3x512x512)(1x1)(int32 1x1 slot 1 slot )(3x3x512x512)(1x1)->(3x3x512x512)	1	1	0
resnet_model/batch_normalization_45/AssignMovingAvg@GPU-0@(2048x1)(2048x1)->(2048x1)	resnet_model/batch_normalization_45/AssignMovingAvg	AssignSub	GPU-0	0	2	2	(2048x1)(2048x1)->(2048x1)	1	1	0
gradients/AddN_37@GPU-0@(3x3x256x256)(3x3x256x256)->(3x3x256x256)	gradients/AddN_37	AddN	GPU-0	0	44	44	(3x3x256x256)(3x3x256x256)->(3x3x256x256)	1	1	0
resnet_model/batch_normalization_41/gamma/Momentum@GPU-0@(no input)->(512x1)	resnet_model/batch_normalization_41/gamma/Momentum	VariableV2	GPU-0	0	2	3	(no input)->(512x1)	0	1	0
resnet_model/batch_normalization_21/moving_mean@GPU-0@(no input)->(512x1)	resnet_model/batch_normalization_21/moving_mean	VariableV2	GPU-0	0	2	3	(no input)->(512x1)	0	1	0
resnet_model/conv2d_42/kernel@GPU-0@(no input)->(1x1x256x1024)	resnet_model/conv2d_42/kernel	VariableV2	GPU-0	0	2	3	(no input)->(1x1x256x1024)	0	1	0
gradients/resnet_model/conv2d_29/Conv2D_grad/Conv2DBackpropInput@GPU-0@(int32 4x1)(3x3x256x256)(64x256x14x14)(256x1 slot 1 slot )(256x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )->(64x256x14x14)	gradients/resnet_model/conv2d_29/Conv2D_grad/Conv2DBackpropInput	Conv2DBackpropInput	GPU-0	0	2271	2271	(int32 4x1)(3x3x256x256)(64x256x14x14)(256x1 slot 1 slot )(256x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )->(64x256x14x14)	1	1	0
PiecewiseConstant/case/Cast@GPU-0@(boolean 5x1)->(int32 5x1)	PiecewiseConstant/case/Cast	Cast	GPU-0	0	2	2	(boolean 5x1)->(int32 5x1)	1	1	0
gradients/resnet_model/conv2d_21/Conv2D_grad/Conv2DBackpropFilter@GPU-0@(64x512x28x28)(int32 4x1)(64x128x28x28)(128x1 slot 1 slot )(128x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )->(1x1x512x128)	gradients/resnet_model/conv2d_21/Conv2D_grad/Conv2DBackpropFilter	Conv2DBackpropFilter	GPU-0	0	2982	2982	(64x512x28x28)(int32 4x1)(64x128x28x28)(128x1 slot 1 slot )(128x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )->(1x1x512x128)	1	1	0
resnet_model/batch_normalization_3/beta@GPU-0@(no input)->(256x1)	resnet_model/batch_normalization_3/beta	VariableV2	GPU-0	0	1	2	(no input)->(256x1)	0	1	0
resnet_model/Relu_5@GPU-0@(64x64x56x56)(64x1 slot 1 slot )(64x1 slot 2 slot )(64x1 slot 3 slot )(64x1 slot 4 slot )->(64x64x56x56)	resnet_model/Relu_5	Relu	GPU-0	0	669	669	(64x64x56x56)(64x1 slot 1 slot )(64x1 slot 2 slot )(64x1 slot 3 slot )(64x1 slot 4 slot )->(64x64x56x56)	1	1	0
resnet_model/batch_normalization_4/beta/read@GPU-0@(64x1)->(64x1)	resnet_model/batch_normalization_4/beta/read	Identity	GPU-0	0	1	1	(64x1)->(64x1)	0	1	0
