AddN, (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), GPU, 0
Momentum/update_resnet_model/batch_normalization_21/gamma/ApplyMomentum, (64x1), (64x1), (1), (int32 1), (64x1), (1), (64x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_21/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_22/beta/ApplyMomentum, (64x1), (64x1), (1), (int32 1), (64x1), (1), (64x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_22/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_22/gamma/ApplyMomentum, (64x1), (64x1), (1), (int32 1), (64x1), (1), (64x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_22/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_23/beta/ApplyMomentum, (64x1), (64x1), (1), (int32 1), (64x1), (1), (64x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_23/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_23/gamma/ApplyMomentum, (64x1), (64x1), (1), (int32 1), (64x1), (1), (64x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_23/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_24/beta/ApplyMomentum, (64x1), (64x1), (1), (int32 1), (64x1), (1), (64x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_24/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_24/gamma/ApplyMomentum, (64x1), (64x1), (1), (int32 1), (64x1), (1), (64x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_24/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_25/beta/ApplyMomentum, (64x1), (64x1), (1), (int32 1), (64x1), (1), (64x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_25/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_25/gamma/ApplyMomentum, (64x1), (64x1), (1), (int32 1), (64x1), (1), (64x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_25/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_26/beta/ApplyMomentum, (64x1), (64x1), (1), (int32 1), (64x1), (1), (64x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_26/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_26/gamma/ApplyMomentum, (64x1), (64x1), (1), (int32 1), (64x1), (1), (64x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_26/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_27/beta/ApplyMomentum, (64x1), (64x1), (1), (int32 1), (64x1), (1), (64x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_27/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_27/gamma/ApplyMomentum, (64x1), (64x1), (1), (int32 1), (64x1), (1), (64x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_27/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_28/beta/ApplyMomentum, (64x1), (64x1), (1), (int32 1), (64x1), (1), (64x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_28/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_28/gamma/ApplyMomentum, (64x1), (64x1), (1), (int32 1), (64x1), (1), (64x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_28/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_29/beta/ApplyMomentum, (64x1), (64x1), (1), (int32 1), (64x1), (1), (64x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_29/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_29/gamma/ApplyMomentum, (64x1), (64x1), (1), (int32 1), (64x1), (1), (64x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_29/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_3/beta/ApplyMomentum, (16x1), (16x1), (1), (int32 1), (16x1), (1), (16x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_3/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_3/gamma/ApplyMomentum, (16x1), (16x1), (1), (int32 1), (16x1), (1), (16x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_3/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_30/beta/ApplyMomentum, (64x1), (64x1), (1), (int32 1), (64x1), (1), (64x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_30/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_30/gamma/ApplyMomentum, (64x1), (64x1), (1), (int32 1), (64x1), (1), (64x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_30/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_4/beta/ApplyMomentum, (16x1), (16x1), (1), (int32 1), (16x1), (1), (16x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_4/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_4/gamma/ApplyMomentum, (16x1), (16x1), (1), (int32 1), (16x1), (1), (16x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_4/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
