Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
110	  2359.79	     1.00	  2359.79	     0.34	555606.14	    79.55	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x128x58x58)(int32 4x1)(64x128x28x28)(128x1)(128x1)(1x1)(1x1)->(3x3x128x128)
111	  2341.01	     1.00	  2341.01	     0.34	557947.15	    79.88	13153337344.00	  5618.66	Conv2D	GPU-0	(64x512x28x28)(1x1x512x1024)->(64x1024x14x14)
112	  1161.82	     2.00	  2323.63	     0.33	560270.78	    80.21	51380224.00	    22.11	AddN	GPU-0	(64x512x28x28)(64x512x28x28)(512x1)(512x1)(1x1)(1x1)->(64x512x28x28)
113	  2313.02	     1.00	  2313.02	     0.33	562583.80	    80.54	13153337344.00	  5686.65	Conv2D	GPU-0	(64x1024x14x14)(1x1x1024x512)->(64x512x14x14)
114	  2295.38	     1.00	  2295.38	     0.33	564879.18	    80.87	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x512x7x7)(int32 4x1)(64x2048x7x7)(2048x1)(2048x1)(1x1)(1x1)->(1x1x512x2048)
115	  2268.57	     1.00	  2268.57	     0.32	567147.75	    81.20	14797504512.00	  6522.83	Conv2D	GPU-0	(64x256x30x30)(3x3x256x256)->(64x256x14x14)
116	  2243.96	     1.00	  2243.96	     0.32	569391.71	    81.52	51380224.00	    22.90	AddN	GPU-0	(64x256x56x56)(64x256x56x56)->(64x256x56x56)
117	   745.10	     3.00	  2235.29	     0.32	571627.00	    81.84	     0.00	     0.00	FusedBatchNormGrad	GPU-0	(64x2048x7x7)(64x2048x7x7)(2048x1)(2048x1)(2048x1)->(64x2048x7x7)(2048x1)(2048x1)(1x1)(1x1)
118	   316.76	     7.00	  2217.30	     0.32	573844.30	    82.16	     0.00	     0.00	FusedBatchNorm	GPU-0	(64x128x28x28)(128x1)(128x1)(1x1)(1x1)->(64x128x28x28)(128x1)(128x1)(128x1)(128x1)
119	  2181.55	     1.00	  2181.55	     0.31	576025.85	    82.47	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x256x14x14)(int32 4x1)(64x1024x14x14)(1024x1)(1024x1)(1x1)(1x1)->(1x1x256x1024)
120	  2121.03	     1.00	  2121.03	     0.30	578146.88	    82.77	13153337344.00	  6201.39	Conv2D	GPU-0	(64x512x28x28)(1x1x512x256)->(64x256x28x28)
121	   352.50	     6.00	  2115.02	     0.30	580261.90	    83.08	1572864.00	     0.74	Mul	GPU-0	(1x1x256x1024)(1x1)->(1x1x256x1024)
122	   526.04	     4.00	  2104.18	     0.30	582366.08	    83.38	 65536.00	     0.03	Mul	GPU-0	(1x1x64x256)(1x1)->(1x1x64x256)
123	  2087.97	     1.00	  2087.97	     0.30	584454.05	    83.68	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x128x28x28)(int32 4x1)(64x512x28x28)(512x1)(512x1)(1x1)(1x1)->(1x1x128x512)
124	   129.82	    16.00	  2077.09	     0.30	586531.14	    83.97	  2048.00	     0.00	AssignSub	GPU-0	(128x1)(128x1)->(128x1)
125	   514.38	     4.00	  2057.52	     0.29	588588.66	    84.27	589824.00	     0.29	Mul	GPU-0	(3x3x128x128)(1x1)->(3x3x128x128)
126	  2032.42	     1.00	  2032.42	     0.29	590621.08	    84.56	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x64x256)(64x256x56x56)(256x1)(256x1)(1x1)(1x1)->(64x64x56x56)
127	  1991.02	     1.00	  1991.02	     0.29	592612.10	    84.84	     0.00	     0.00	FusedBatchNormGrad	GPU-0	(64x128x56x56)(64x128x56x56)(128x1)(128x1)(128x1)->(64x128x56x56)(128x1)(128x1)(1x1)(1x1)
128	   976.77	     2.00	  1953.54	     0.28	594565.64	    85.12	 98302.00	     0.05	L2Loss	GPU-0	(1x1x256x64)->(1x1)
129	   381.75	     5.00	  1908.77	     0.27	596474.41	    85.40	     0.00	     0.00	ReluGrad	GPU-0	(64x512x7x7)(64x512x7x7)->(64x512x7x7)
130	    93.04	    20.00	  1860.71	     0.27	598335.12	    85.66	 10240.00	     0.01	Mul	GPU-0	(512x1)(1x1)->(512x1)
131	    90.16	    20.00	  1803.14	     0.26	600138.26	    85.92	 10240.00	     0.01	AssignSub	GPU-0	(512x1)(512x1)->(512x1)
