Op	System_1 time per call	System_2 time per call	Time ratio Sys1/Sys2 (one call)	System_1 total op time	System_2 total op time	Time ratio Sys1/Sys2 (all calls)	System_1 occurence	System_2 occurence	Occurence Ratio	System1 cumulative time	System1 % of total time 	System1 cumulative % of total time 	System2 cumulative time	System2 % of total time 	System2 cumulative % of total time 
Mul@GPU-0@(64x1)(64x1001)->(64x1001)	275.93	67.66	4.0781850428613655	275.93	67.66	4.0781850428613655	1.00	1.00	1.0	698297.5700000001	0.0003917313773028488	0.9913567530291469	691723.7600000007	9.686835323069325e-05	0.9903361147168687
MatMul@GPU-0@(64x1001)(2048x1001)->(64x2048)	270.53	144.98	1.8659815146916816	270.53	144.98	1.8659815146916816	1.00	1.00	1.0	698568.1000000001	0.00038406512340716725	0.9917408181525541	691868.7400000007	0.000207566861533933	0.9905436815784026
Relu@GPU-0@(64x512x14x14)(512x1)(512x1)(512x1)(512x1)->(64x512x14x14)	243.53	388.91	0.6261860070453318	243.53	388.91	0.6261860070453318	1.00	1.00	1.0	698811.6300000001	0.00034573385392876004	0.9920865520064829	692257.6500000007	0.0005567997525118078	0.9911004813309143
AddN@GPU-0@(1x1x512x256)(1x1x512x256)->(1x1x512x256)	242.30	122.43	1.9790900922976395	242.30	122.43	1.9790900922976395	1.00	1.00	1.0	699053.9300000002	0.0003439876516525215	0.9924305396581354	692380.0800000008	0.00017528218276727424	0.9912757635136816
Cast@GPU-0@(boolean 5x1)->(int32 5x1)	231.44	57.65	4.014570685169124	231.44	57.65	4.014570685169124	1.00	1.00	1.0	699285.3700000001	0.00032856996326231764	0.9927591096213978	692437.7300000008	8.253710558305448e-05	0.9913583006192647
Cast@GPU-0@(int64 1x1)->(int32 1x1)	224.11	32.35	6.9276661514683155	224.11	32.35	6.9276661514683155	1.00	1.00	1.0	699509.4800000001	0.0003181637334372538	0.9930772733548351	692470.0800000008	4.63152708692422e-05	0.991404615890134
AddN@GPU-0@(7x7x3x64)(7x7x3x64)->(7x7x3x64)	202.94	28.50	7.120701754385965	202.94	28.50	7.120701754385965	1.00	1.00	1.0	699712.42	0.00028810917881288777	0.9933653825336479	692498.5800000008	4.080325254322728e-05	0.9914454191426771
L2Loss@GPU-0@(1001x1)->(1x1)	198.32	110.91	1.7881164908484357	198.32	110.91	1.7881164908484357	1.00	1.00	1.0	699910.74	0.0002815502727021381	0.9936469328063501	692609.4900000008	0.00015878907858138025	0.9916042082212585
AddN@GPU-0@(2048x1001)(2048x1001)->(2048x1001)	188.09	132.40	1.420619335347432	188.09	132.40	1.420619335347432	1.00	1.00	1.0	700098.83	0.0002670269805997638	0.9939139597869499	692741.8900000008	0.00018955616269204534	0.9917937643839505
VariableV2@GPU-0@(no input)->(256x1)	2.06	1.99	1.035175879396985	185.14	179.19	1.033204977956359	90.00	90.00	1.0	700283.97	0.00026283893449008595	0.9941767987214399	692921.0800000008	0.00025654508151652265	0.992050309465467
